air-cooled condenser;n.;null;geothermal energy;heat exchange;condenseur à air;A condenser that rejects heat to the surrounding air.;Carbon Architecture;Based on : How refrigeration works;website, 2013;http://effbox.com/product/how-it-works/;"1. ""In a binary geothermal plant where there is not a sufficient supply of water for an evaporative cooling system, heat must be rejected to atmospheric air. This heat rejection is accomplished through the use of large air-cooled condenser units in which air is forced through several rows of long individually finned tubes by large fans.""

2. ""An air-cooled condenser used for refrigeration and heat pump applications generally consists of plate-fin-tubes.""";"
1.M. S. SOHAL, J. E. O’BRIEN
Date: 2001
http://geothermal.inel.gov/publications/articles/sohalgrc90-01paper.pdf
2.Shuangquan SHAO, Xianting LI, Wenxing SHI
";"1.Title: Improving Air-cooled Condenser Performance using Winglets and oval Tubes in a Geothermal Power Plant 

2.Title: A Universal Simulation Model of Air-Cooled Condenser Consisting of Plate-Fin-Tube";"
1. website, 2001

2. website, 2003
";"
1. http://geothermal.inel.gov/publications/articles/sohalgrc90-01paper.pdf                      
2.
http://scitation.aip.org/getabs/servlet/GetabsServlet?prog=normal&id=ASMECP002003036932000729000001&idtype=cvips&gifs=yes&ref=no";An Air Cooled Condenser (ACC) is made of modules arranged in parallel rows. Each module contains a number of fin tube bundles. An axial flow, forced-draft fan located in each module forces the cooling air across the heat exchange area of the fin tubes.;SPX Cooling Technologies ;Air Cooled Condensers - Dry Cooling   ;website, 2012;http://spxcooling.com/en/products/detail/air-cooled-condensers;null;air-cooled condenser system, air-cooled condenser unit;null;null;air condenser, ACC;null;null;condenser;fin and tube condenser, plate condenser;module, fin tube, fan, coil, bundle;heat pump (not systematic), geothermal plant  (not systematic);;;;;;;;
concentrating solar power (CSP) plant;n.;null;solar energy;concentrating solar power;centrale solaire thermique;Solar energy conversion system using mirrors to reflect and concentrate sunlight onto receivers that collect the solar energy and convert it to high-temperature steam or gas to drive a turbine or motor engine to produce electricity.;U.S. Department of Energy, Energy Efficiency and Renewable energy, Solar Energy ;"Based on:

Concentrating Solar Power Technologies Program";website;"
http://www1.eere.energy.gov/solar/csp.html";"""Thanks to the option of storage capacity that it offers, CSP allows you to have power long after sunset or on days with some cloud coverage.""";Alstom Power;Concentrated solar power (CSP) plant;website, 2015;http://www.alstom.com/microsites/power/products-services/renewables/solar-power/;Since CSP plants require high levels of direct solar radiation to operate efficiently, deserts make ideal locations.;Earth Policy Institute;Solar Thermal Power Coming to a Boil;website, 2008;"

http://www.earth-policy.org/index.php?/plan_b_updates/2008/update73";« CSP technologies », in the broad sense of the word, usually means « filière thermodynamique ».;"CSP plant capacity,
CSP plant operating strategies,
CSP plant locations,
CSP plant type, 
CSP plant supplier,

incentive premiums for CSP plant,
components for CSP plant,
operation time of CSP plant,
output of a CSP plant,
size of CSP plant

";"modern CSP plant,
new CSP plant,
hybrid CSP plant,
commercial-scale CSP plant ,
hybrid solar-fossil fueled CSP plant";"Concentrating solar power (CSP) plant uses,
CSP plant generates,
CSP plant powers,
CSP plant delivers,
CSP plant supplies,
CSP plant produces,
CSP plant operates,
CSP plant needs, 
CSP plant utilizes,
generated from CSP plant";"Abbreviation: CSP plant

Syntactic variant: CSP-plant";power (v.tr.), power (n.), concentration (n.), concentrate (v.tr.), concentrated (adj.);"concentrated solar power plant,
solar thermal power plant,
solar power plant,
solar plant,
solar electricity generating system (SEGS) (near-synonyms)";solar energy converison system;"parabolic trough plant,
parabolic dish Stirling plant,
power tower plant,
linear Fresnel reflector power plant
";"heliostat field,
receiver,
heat transfer fluid,
turbine,
condensator,
intermediary thermal storage medium,
steam storage medium
";concentrating solar power technology;;;;;;;;
solar tower plant;n.;null;solar energy;concentrating solar power;centrale à tour;Solar energy conversion system that uses a large field of independently adjustable mirrors (heliostats) to focus solar rays on a near single point atop a fixed tower (receiver), where a heat-transfer fluid is heated and used to generate steam, which, in turn, is used in a conventional turbine generator to produce electricity.;The US Department of Energy - Science@WIPP;"Based on:

Solar Power Towers Deliver Energy Solutions";website;"
http://www.wipp.energy.gov/science/energy/powertower.htm

";"""Solar power towers offer large-scale, distributed solutions to our nation’s energy needs, particularly for peaking power.""";The US Department of Energy -Science@WIPP;Solar Power Towers Deliver Energy Solutions;website;"

http://www.wipp.energy.gov/science/energy/powertower.htm
";More large scale solar tower plants have a thermal receiver to produce heat in form of a heated medium i.e. fluid, steam or air.;Solar Tower Systems;Solar Tower Plant;website;"

http://www.solartowertechnologies.com/solar-tower-plant.html";No real consensus on the definitive spelling and form of this term.;"project development of the solar tower plant,
commercialization of solar tower plants,
operation of the solar tower plant,
performance of the solar tower plant,
solar solar tower plant
opportunities,
reliability of the solar tower plant

solar tower plant project,
solar tower plant design,
solar tower plant construction,
solar tower plant checkout,
solar tower plant evaluation,
solar tower plant efficiency";"solar-only solar tower plant,
hybrid solar tower plant,
grid connected solar tower plant,
world's largest solar solar tower plant,
commercial solar tower plant,
solar solar tower plant,
future solar tower plant,
initial solar tower plant,
modern solar tower plant";"to convert a solar tower plant,
to combine a solar tower plant
with,
to protect the solar tower plant,
to optimize the solar tower plant,

the solar tower plant supplies,
the solar tower plant generates,
the solar tower plant will cover,
the solar tower plant delivers,
the solar tower plant produces,
a solar tower plant requires";null;null;"power tower plant, solar tower,
power tower,
central receiver plant (synonyms)
";solar energy conversion system;molted salt tower plant;"heliostats,
receiver,
tower,
heat transfer fluid,
steam turbine,
steam condenser,
intermediary thermal storage medium,
steam storage medium,
feedwater reheater
";CSP plant;;;;;;;;
collector field;n.;null;solar energy;concentrating solar power;champs de capteurs;Collector system part of a central receiver plant whose main purpose is to heat a fluid using the energy provided by solar irradiation and consisting in an array of mirrors or reflectors that actually collect the solar radiation and focus it onto the solar receiver. ;NTNU;"Based on:

Feedback linearization control for a distributed solar collector field";pdf document;"
http://www.nt.ntnu.no/users/skoge/prost/proceedings/ifac2005/Fullpapers/02389.pdf

";"""The collector field consists of a large field of single-axis tracking parabolic trough solar collectors."" ";SABRE- Gen - Solar Energy;Concentrating Solar Power: Technologies;website;"

http://www.sabregen.co.za/solar/solar-tech.html";Collectors fields transform solar radiation into heat and transfer that heat to a medium (water, solar fluid, or air). Then solar heat can be used for heating water, to back up heating systems or for heating swimming pools.;SolarServer - Global Solar Industry Website;Solar Collectors: Different Types and Fields of Application;website, 2011;http://www.solarserver.com/knowledge/basic-knowledge/solar-collectors.html;null;"collector field availability,
collector field slope,
parabolic trough collector field,
improvements in the collector field,
arrangements of the collector field,
ETC collector field,
collector field of a solar power plant,
mirrors of a collector field,
thermo-hydraulic components of the collector field,
collector field yield,
collector field orientation,
collector field tilt angle,
size of collector field,
position of collector field,
thermal characteristics of the collector field,
fluid characteristics of the collector field,
output of a collector field,
shading factor for a collector field,
gross area of a collector field,
operational performance of the collector field";"solar collector field,
large solar collector field,
distributed collector field,
distributed solar collector field
";"to defocus the collector field,
to couple the collector field ";"Extensive variants:
solar collector field,
solar thermal collector field
";collector (n.), collect (v.tr.), collection (n.), collecting (adj.);"solar collector field,
solar thermal collector field, 
distributed collector field (synonyms) ";collector system;"parabolic trough collector field,
heliostat collector field,
linear Fresnel collector field,
ETC collector field,
";"connecting tubing,
solar collector,
solar receiver,
heat transfer fluid";"solar power plant,
central receiver plant";;;;;;;;
solar thermal energy;n.;null;solar energy;solar thermal energy;énergie solaire thermique ;Energy produced using the sun rays and capable of producing heat, causing chemical reactions, or generating electricity;Climate Change Philanthropy Action Network;"Based on:

Climate change glossary";website, 2007;"
http://www.climatephilanthropists.org/basics
";"""Besides the application of solar heat in single- and small multi-family houses, the use of solar
thermal energy for domestic hot water preparation and space heating in large public/office buildings
or residential buildings/communities are promising applications.""";Global Solar Thermal Energy Council;Applications of solar heat for temperatures ranging from 50° - 2000°C;pdf document, 2008;"

http://www.eurotherm2008.tue.nl/Proceedings_Eurotherm2008/papers/Mini_Symposia/Mini_Symposium_Thermal_Solar_Energy_3_Muller-Steinhagen.pdf
";The solar collectors absorb the sun’s rays, convert them to heat and transfer the heat to a heat-transfer fluid. (The heat-transfer fluid is typically a glycol and water mixture in regions where seasonal freezing in a concern.) The heat-transfer fluid is then pumped into a heat exchanger located inside the water storage tank where it heats the water.;Solar-is-future.com;How Solar Thermal Energy Works;website, 2011;"

http://www.solar-is-future.com/solar-energy-source/how-solar-thermal-energy-works/heat-from-light/";null;"solar thermal energy market, 
solar thermal energy production,
adoption of solar thermal energy, 
applications of solar thermal energy,
Direct Solar Thermal Energy Conversion,
solar thermal energy installations,
solar thermal energy systems,
development of solar thermal energy";storing solar thermal energy;"to store solar thermal energy, 
to benefit from solar thermal energy,
to concentrate solar thermal energy, 
to collect solar thermal energy, 
to distribute solar thermal energy, 
to invest in solar thermal energy, 
to use solar thermal energy";null;null;null;energy;solar drying, cooking, distillation;solar thermal collector, heat-transfer fluid ;solar energy;;;;;;;;
heat transfer fluid;n.;null;solar energy;thermal energy ;fluide caloporteur;Fluid in the form of a gas or a liquid specifically manufactured for the purpose of transmitting heat from one system to another and creating, after passing through a heat exchanger, high-pressure steam that is fed to a steam turbine to produce power.;Greenfacts;Heat transfer fluid;website, 2015;http://www.greenfacts.org/glossary/ghi/heat-transfer-fluid.htm;"""[The direct two-tank thermal energy storage] system  simply used the mineral oil (Caloria) heat transfer fluid (HTF) to store energy for later use."" ";NREL;Concentrating Solar Power Research;website, 2010;http://www.nrel.gov/csp/troughnet/thermal_energy_storage.html;For example, in a cold climate, solar water heating systems require fluids with low freezing points. Fluids exposed to high temperatures, as in a desert climate, should have a high boiling point. Viscosity and thermal capacity determine the amount of pumping energy required. A fluid with low viscosity and high specific heat is easier to pump, because it is less resistant to flow and transfers more heat. Other properties that help determine the effectiveness of a fluid are its corrosiveness and stability.;Energy.gov;Heat Transfer Fluids for Solar Water Heating Systems;website, 2013;http://energy.gov/energysaver/articles/heat-transfer-fluids-solar-water-heating-systems;Heat transfer fluid is either completed with its abbreviation (HTF), or even replaced by it in technical texts. This is a neologism.;"mineral oil (Caloria) heat transfer fluid,
temperature of the heat transfer fluid,
heat transfer fluid industry,
heat transfer fluid products,
heat transfer fluid manufacturers,
heat transfer fluid producers,
heat transfer fluid distributors,
heat transfer fluid flow,
heat transfer fluid flow problems,
heat transfer fluid thermal conductivity
";"conventional heat transfer fluid,
new higher temperature heat transfer fluid,
hot heat transfer fluid,
solar heat transfer fluid,
thermally stable heat transfer fluid,
economical heat transfer fluid";"to maintain the temperature of the heat transfer fluid,
to use sthg as heat transfer fluid,
to use a heat transfer fluid";"Abbreviation:
HTF";transfer heat (v.tr.);"HTF,
coolant ,
heat carrying fluid,
flowing heat carrier,
fluid heat carrier medium  (synonyms)

";heat transfer medium;"steam,
vapor,
silicone,
water glycol mixture,
hydrocarbon oils,
air
";null;solar collector;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
